date,ticker,side,shares,price,value,cost
2026-07-28,601728,buy,1500.0,6.3,9450.0,18.9
2026-07-28,601766,buy,1600.0,6.0,9600.0,19.2
2026-07-28,601816,buy,1900.0,5.08,9652.0,19.3
2026-07-28,601857,buy,900.0,11.1,9990.0,19.98
2026-07-28,601868,buy,3900.0,2.53,9867.0,19.73
2026-07-28,601872,buy,600.0,16.19,9714.0,19.43
2026-07-28,601877,buy,400.0,24.22,9688.0,19.38
2026-07-28,601888,buy,100.0,55.51,5551.0,11.1
2026-07-28,601898,buy,700.0,13.72,9604.0,19.21
2026-07-28,601899,buy,300.0,31.69,9507.0,19.01
2026-07-28,601919,buy,600.0,15.43,9258.0,18.52
2026-07-28,601939,buy,900.0,10.64,9576.0,19.15
2026-07-28,601958,buy,400.0,20.17,8068.0,16.14
2026-07-28,601985,buy,1100.0,8.85,9735.0,19.47
2026-07-28,601988,buy,1600.0,6.1,9760.0,19.52
2026-07-28,601991,buy,1600.0,5.94,9504.0,19.01
2026-07-28,601995,buy,200.0,34.72,6944.0,13.89
2026-07-28,603019,buy,100.0,92.1,9210.0,18.42
2026-07-28,603127,buy,200.0,45.57,9114.0,18.23
2026-07-28,603179,buy,200.0,38.0,7600.0,15.2
2026-07-28,603228,buy,100.0,73.85,7385.0,14.77
2026-07-28,603260,buy,300.0,32.21,9663.0,19.33
2026-07-28,603288,buy,200.0,37.01,7402.0,14.8
2026-07-28,603296,buy,100.0,84.16,8416.0,16.83
2026-07-28,603308,buy,200.0,43.0,8600.0,17.2
2026-07-28,603379,buy,100.0,57.67,5767.0,11.53
2026-07-28,603459,buy,100.0,88.55,8855.0,17.71
2026-07-28,603501,buy,100.0,91.8,9180.0,18.36
2026-07-28,603606,buy,200.0,39.2,7840.0,15.68
2026-07-28,603650,buy,100.0,64.72,6472.0,12.94
2026-07-28,603659,buy,400.0,23.96,9584.0,19.17
2026-07-28,603688,buy,200.0,44.62,8924.0,17.85
2026-07-28,603799,buy,200.0,39.28,7856.0,15.71
2026-07-28,603806,buy,700.0,13.89,9723.0,19.45
2026-07-28,603823,buy,100.0,61.49,6149.0,12.3
2026-07-28,603920,buy,300.0,32.81,9843.0,19.69
2026-07-28,603979,buy,100.0,71.45,7145.0,14.29
2026-07-28,603993,buy,500.0,19.0,9500.0,19.0
2026-07-28,605090,buy,300.0,31.72,9516.0,19.03
2026-07-28,605117,buy,100.0,83.2,8320.0,16.64
2026-07-28,605358,buy,200.0,40.15,8030.0,16.06
2026-07-28,605589,buy,200.0,36.1,7220.0,14.44
2026-07-28,688001,buy,212.0,47.0,9964.0,19.93
2026-07-28,688126,buy,395.0,25.3,9993.5,19.99
2026-07-28,688187,buy,220.0,45.25,9955.0,19.91
2026-07-28,688223,buy,2415.0,4.14,9998.1,20.0
2026-07-28,688249,buy,243.0,40.99,9960.57,19.92
2026-07-28,688385,buy,206.0,48.32,9953.92,19.91
2026-07-28,688387,buy,836.0,11.96,9998.56,20.0
2026-07-28,688403,buy,446.0,22.42,9999.32,20.0
2026-07-28,688432,buy,250.0,39.99,9997.5,20.0
2026-07-28,688469,buy,1362.0,7.34,9997.08,19.99
2026-07-28,688548,buy,279.0,35.84,9999.36,20.0
2026-07-28,688549,buy,443.0,22.53,9980.79,19.96
2026-07-28,688728,buy,647.0,15.44,9989.68,19.98
2026-07-28,688729,buy,386.0,25.89,9993.54,19.99
2026-07-28,688783,buy,351.0,28.43,9978.93,19.96
2026-07-28,688818,buy,223.0,44.69,9965.87,19.93
2026-08-04,000034,buy,100.0,24.9,2490.0,4.98
2026-08-04,000066,buy,100.0,14.3,1430.0,2.86
2026-08-04,000100,buy,100.0,4.77,477.0,0.95
2026-08-04,000625,buy,1300.0,7.62,9906.0,19.81
2026-08-04,000893,buy,200.0,48.4,9680.0,19.36
2026-08-04,000967,buy,1100.0,9.09,9999.0,20.0
2026-08-04,000981,sell,-300.0,2.88,-864.0,1.73
2026-08-04,000988,buy,100.0,100.65,10065.0,20.13
2026-08-04,002027,buy,100.0,5.32,532.0,1.06
2026-08-04,002130,buy,500.0,17.53,8765.0,17.53
2026-08-04,002131,sell,-500.0,5.43,-2715.0,5.43
2026-08-04,002185,buy,100.0,15.53,1553.0,3.11
2026-08-04,002407,buy,100.0,31.36,3136.0,6.27
2026-08-04,002493,sell,-800.0,12.05,-9640.0,19.28
2026-08-04,002837,buy,100.0,49.43,4943.0,9.89
2026-08-04,003031,buy,100.0,100.3,10030.0,20.06
2026-08-04,300024,buy,600.0,15.77,9462.0,18.92
2026-08-04,300058,sell,-100.0,15.72,-1572.0,3.14
2026-08-04,300346,buy,100.0,49.45,4945.0,9.89
2026-08-04,300383,buy,700.0,14.1,9870.0,19.74
2026-08-04,300433,buy,100.0,32.95,3295.0,6.59
2026-08-04,300458,buy,100.0,33.14,3314.0,6.63
2026-08-04,300779,buy,100.0,84.0,8400.0,16.8
2026-08-04,300903,buy,100.0,46.86,4686.0,9.37
2026-08-04,600011,buy,100.0,7.21,721.0,1.44
2026-08-04,600246,buy,200.0,11.02,2204.0,4.41
2026-08-04,600331,sell,-800.0,13.1,-10480.0,20.96
2026-08-04,600487,buy,100.0,50.27,5027.0,10.05
2026-08-04,600570,buy,400.0,23.08,9232.0,18.46
2026-08-04,600578,sell,-100.0,5.97,-597.0,1.19
2026-08-04,600641,buy,100.0,24.41,2441.0,4.88
2026-08-04,600707,buy,100.0,8.32,832.0,1.66
